Tweet:531303037843689472, 2014-11-30T06:02:30+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.452414933, MeCabTime:0.004164566, UsedTime:0.457154852

Tweet:531303038707712000, 2014-11-30T06:02:31+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.099684743, MeCabTime:0.000322527, UsedTime:0.100154565

Tweet:531303040146735104, 2014-11-30T06:02:31+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.09099586, MeCabTime:0.000453968, UsedTime:0.091563948

Tweet:531303039492444161, 2014-11-30T06:02:31+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=6&z=7&date=201411091330, filename:img/2014/11/09/x57y6_1330.png, 
readed png, RainTime:0.408417649, MeCabTime:0.000430153, UsedTime:0.408981757

Tweet:531303040335495169, 2014-11-30T06:02:31+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.098921168, MeCabTime:0.000353536, UsedTime:0.099432127

Tweet:531303040267980800, 2014-11-30T06:02:32+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=8&z=7&date=201411091330, filename:img/2014/11/09/x57y8_1330.png, 
readed png, RainTime:0.336776904, MeCabTime:0.000319385, UsedTime:0.337218022

Tweet:531303045762531328, 2014-11-30T06:02:32+09:00, not japanese, Tweet:531303046374907904, 2014-11-30T06:02:32+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096735905, MeCabTime:0.000311701, UsedTime:0.097165638

Tweet:531303046685282304, 2014-11-30T06:02:32+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097358819, MeCabTime:0.0003564, UsedTime:0.097829899

Tweet:531303048262348800, 2014-11-30T06:02:32+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.388470978, MeCabTime:0.000336915, UsedTime:0.388919359

Tweet:531303049516425216, 2014-11-30T06:02:32+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097230032, MeCabTime:0.000341175, UsedTime:0.097711797

Tweet:531303051395485696, 2014-11-30T06:02:33+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
