Date, UsedTime, Tweets, FileSize
2014-11-5 20:48:2, 198.151094359, 1000, 483
2014-11-5 20:51:6, 184.504514091, 2000, 961
2014-11-5 20:54:13, 186.388524272, 3000, 1443
2014-11-5 20:57:15, 182.237840445, 4000, 1925
2014-11-5 21:0:12, 177.044350477, 5000, 2409
2014-11-5 21:2:55, 162.916065867, 6000, 2905
2014-11-5 21:6:2, 187.196341104, 7000, 3385
2014-11-5 21:9:3, 180.582999141, 8000, 3861
2014-11-5 21:12:0, 176.877107701, 9000, 4345
2014-11-5 21:15:2, 182.716483295, 10000, 4824
2014-11-5 21:18:15, 192.363138572, 11000, 5306
2014-11-5 21:21:11, 176.255328213, 12000, 5786
2014-11-5 21:24:2, 171.378183222, 13000, 6263
2014-11-5 21:27:2, 179.248561851, 14000, 6741
2014-11-5 21:29:19, 136.989408014, 15000, 7203
2014-11-5 21:32:19, 180.707867325, 16000, 7686
2014-11-5 21:35:19, 180.020880662, 17000, 8168
2014-11-5 21:38:8, 168.182201386, 18000, 8646
2014-11-5 21:40:54, 166.056361082, 19000, 9125
2014-11-5 21:43:43, 169.25718236, 20000, 9604
2014-11-5 21:46:33, 169.638987756, 21000, 10087
2014-11-5 21:49:12, 159.268726146, 22000, 10570
2014-11-5 21:50:50, 98.36266281, 23000, 11023
2014-11-5 21:51:59, 68.607611556, 24000, 11468
2014-11-5 21:53:8, 69.256361862, 25000, 11914
2014-11-5 21:54:23, 75.334687046, 26000, 12361
2014-11-5 21:55:42, 78.420696796, 27000, 12810
2014-11-5 21:58:13, 151.731632427, 28000, 13296
2014-11-5 22:0:43, 149.93220074, 29000, 13790
2014-11-5 22:3:25, 161.13021328, 30000, 14278
2014-11-5 22:6:21, 176.707369007, 31000, 14758
2014-11-5 22:9:4, 162.305395893, 32000, 15237
