"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"516836745338314753","","","2014-09-30 06:27:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Demii yumand mungu zarku gej bgad terneesee ih mungu zardag.. Eruul mend ch yalgaagui.","","","",""
"516836596541181953","","","2014-09-30 06:27:01 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mongold ayugui ajillagaa, human error, human factor-n lekts unshdag bagshaa avaacchih umsan.. Hairan huls huch, hurungu. Mongol zan l umda..","","","",""
"515788791307460608","","","2014-09-27 09:03:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sasuga Hakuho..","","","",""
"515510984610304000","","","2014-09-26 14:39:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Za yer ni judo,chulut goy bn.fencing hurtel hugjchlu. Golf protoi bollo.Sags alj bn.  Odoo mori Ganbold-g unagachval hulbumbug hugjluu..","","","",""
"514732737970728960","","","2014-09-24 11:07:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","odoo korea jordan-g hojoosoi geel suuj baiy daa","","","",""
"514701064566611969","","","2014-09-24 09:01:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#Ichinojo -g NHK-han hudlaa yrij chadadgui huurhun huuhed bn gene de kk. Anhnaasaa bultah tactictai baisan baih gej yrij bn.. Barkun baij :)","","","",""
"514365712303788032","","","2014-09-23 10:48:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Delhiin avarga ordog bagiig hojood bshdee. #gogomongolia #AsianGames2014 #Basketball","","","",""
"514193456525099008","","","2014-09-22 23:24:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2003 onii gaihaltai draftaar wade, bosh, melo-n urduur draftlagdsan Darco Milicic kickbox chin bolj bgn bn. Horvooch sonin yumda #nba","","","",""
"514057304509927424","","","2014-09-22 14:23:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","7 honog shanalj suuj bgad, 1 l shunu dundiin iltgeliin materialaa beldchiv. Bi iim l type um bn. Japand time management sursan um alga haha","","","",""
"514056840896729088","","","2014-09-22 14:21:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Unuudruus ehleed heseg locationtoi twitterdnee.","","","",""
"514056500793200643","","","2014-09-22 14:19:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Horvoo delhii, hunii amidral ch sonin shuu gej bodogdoh um.","","","",""
"514056389417631744","","","2014-09-22 14:19:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Haaya gaigui um hum yrichdag, jishee n hamt tsagiin ajil hiideg hun ch yumu, gent holboo tasraal dahij hezeech ter huntei taarahgui geheer..","","","",""
"513536452592795648","","","2014-09-21 03:53:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","life's too short to challenge everything gecheed gevtej baimaar udruud ch baihiimdaa  haayaa.. #garfieldrules","","","",""
"513284110886764544","","","2014-09-20 11:10:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tumurhulegiin barildaaniig uzeh uramtaimaa. Aziin avarga! #asiangames2014 #judo #mongolia","","","",""
"513280355273424896","","","2014-09-20 10:55:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Neg japanaar bur naadaad haychloo. Erguulj toiruulaal. Urantsetseg aziin avarga bolloo #asiangames2014 #judo","","","",""
"513279134491877376","","","2014-09-20 10:50:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budaa bolgoj bn doo","","","",""
"513278478683095041","","","2014-09-20 10:48:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#asiangames2014 urantsetseg japantai avargiin tuluu. ene n umnuh buh barildaanaa tsever ylsan baagii bn. #judo","","","",""
"513278256598904833","","","2014-09-20 10:47:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#asiangames2014 manai boldbaatar daraltand orood gusuulchloo #judo","","","",""
"512919775324823553","512919178051723264","244912735","2014-09-19 11:02:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@UndaakB engineer hun shig yrijiishd. Sasuga.","","","",""
"512919547410513921","","","2014-09-19 11:02:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zia tegheer twitter data deer research hiiheer bolloo.. Gehdee Mongoltoi holbogdohoor sedev bish bn. Zav garval Mongol twitter-udig oroldnoo","","","",""
"512919187769921536","","","2014-09-19 11:00:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Erthen web oroldoj bdag bj. Ingej ih tsag aldku bhgu yu","","","",""
"512919059059314688","512785706502987776","318262681","2014-09-19 11:00:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@biligzaya harin tiimee, onond zettai Mongol hel zaaj uguurei do kk","","","",""
"512918775134298113","512784322101649408","318262681","2014-09-19 10:59:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@biligzaya yum joohon namjihaar solinoo. Odoo operatoruud pig bga blgu","","","",""
"512767137404821504","","","2014-09-19 00:56:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Phx suns-d minii harj bgagar 6n holbogch baih shig bhiin. Rotationoo yaj bolgono do. Ylanguya dragic, bledsoe, i.thomas 3","","","",""
"512617327464943616","","","2014-09-18 15:01:09 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Users frustrated by Apple iOS update http://t.co/5mvHVelMv1","","","","http://www.bbc.co.uk/news/technology-29251961"
"512101668398194690","","","2014-09-17 04:52:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Coffe hort havdar tusah magadlaliig bagasgadag gej medegu yvj... #surprised","","","",""
"512084675066482688","","","2014-09-17 03:44:35 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","#TransferDeadlineDay https://t.co/R1g6eTricL #interactive via @twitter","","","","https://interactive.twitter.com/player_transfer/"
"512030367100854272","","","2014-09-17 00:08:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iPhone -&gt; Android shiljiidoo","","","",""
"510656228163203072","","","2014-09-13 05:08:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","todorhoi um yrival unen yrij bga yum shig haragdah magadlaltai","","","",""
"510457451250855936","","","2014-09-12 15:58:34 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","'Largest ever' SD memory card http://t.co/OSD1qgsQYV","","","","http://www.bbc.co.uk/news/technology-29175093"
"510234476996083712","","","2014-09-12 01:12:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zarim humuus like darhaas durgui hurmeer ih zurag neg dor hiij baishu #instagram #instamanner haha","","","",""
"509718131892166656","","","2014-09-10 15:00:47 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","9gag's photo http://t.co/oH5RJ9NA2w","","","","http://i.instagram.com/p/sw8yiAjJ3l/"
"509650166060961792","","","2014-09-10 10:30:43 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Words, phrases, and topics most highly distinguishing English-speaking females and males in social… http://t.co/kVrLWINepU","","","","http://instagram.com/p/swv7XJtZtu/"
"509604386662658048","","","2014-09-10 07:28:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Odoo bodohod bi 2004 ond drag&amp;drop interface-n idea-g heviin gej uzej bsan bgam da..","","","",""
"509594587350839296","","","2014-09-10 06:49:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yern  vine, twitter 2-n sanaa n adilha umdoo","","","",""
"509593743486230528","","","2014-09-10 06:46:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Twitter ene jijighen memo-s uuschee http://t.co/GFJhsofoPo","","","","http://twitter.com/chinbaa_chi/status/509593743486230528/photo/1"
"509370494903013378","","","2014-09-09 15:59:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","apple-n conference-g huleegeed noiroo hasah zarim neg huniig oilgohiin tuld, hulbumbugiin toglolt huleedgee sanah heregtei um bn bi","","","",""
"509364260321767424","","","2014-09-09 15:34:37 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","IT hamagu ch, doc-g n unshij bgad ynz burer web app hiichdeg nuhdud baihiin.. Wordpress, ruby on rails gel… Ylgaa gargahgu bol ch bolkune de","","","",""
"509180286651744256","509129922258825216","70147896","2014-09-09 03:23:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@orghil @Muuji_jpn heleed yuhev. Umnu n zunduu hojson gartaa archuullashd. Ulsaas n irdeg daramt ih bdag bha. Yuch bodku togloson bol oor","","","",""
"509124130939994112","","","2014-09-08 23:40:26 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","US Open finald uldsen neg Japaniigaa turuultsen um shig l media-r um bolood bsn, finald archuuljdee. Zaluhan um chn daraa dahij garch irese","","","",""
"508269940365746176","","","2014-09-06 15:06:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","World Health Organization(WOH) nii sudalgaagar, 40sec tutamd hen negen hun amia horloj baidag gene. Haramsaltai.","","","",""
"508118567309410304","","","2014-09-06 05:04:41 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Сагсан бөмбөгийн ДАШТ 2014 - МИНИЙ ТААМАГЛАЛ http://t.co/PEL8AlFFxU","","","","http://www.ikon.mn/fiba/2014/S14_81Mx8VTauCJqFmmdnbgrfj"
"507926537794904065","","","2014-09-05 16:21:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zuger ner server deer wordpress huulaad tavitsan, namaig hen toohov gd blog bichdimu ged bj btal hen neg n attack hiitsen bhiin...","","","",""
